[DQNAgent | Acrobot-v1] Episode 10/100 avg_return=-101.90
[DQNAgent | Acrobot-v1] Episode 20/100 avg_return=-119.30
[DQNAgent | Acrobot-v1] Episode 30/100 avg_return=-88.80
[DQNAgent | Acrobot-v1] Episode 40/100 avg_return=-87.90
[DQNAgent | Acrobot-v1] Episode 50/100 avg_return=-88.90
[DQNAgent | Acrobot-v1] Episode 60/100 avg_return=-84.60
[DQNAgent | Acrobot-v1] Episode 70/100 avg_return=-113.20
[DQNAgent | Acrobot-v1] Episode 80/100 avg_return=-85.00
[DQNAgent | Acrobot-v1] Episode 90/100 avg_return=-83.30
[DQNAgent | Acrobot-v1] Episode 100/100 avg_return=-86.50

[DQNAgent | Acrobot-v1] Test completed. Avg return: -93.94
Videos saved in: videos\DQNAgent_Acrobot-v1
