[DQNAgent | MountainCar-v0] Episode 10/100 avg_return=-139.30
[DQNAgent | MountainCar-v0] Episode 20/100 avg_return=-129.20
[DQNAgent | MountainCar-v0] Episode 30/100 avg_return=-143.40
[DQNAgent | MountainCar-v0] Episode 40/100 avg_return=-150.90
[DQNAgent | MountainCar-v0] Episode 50/100 avg_return=-134.80
[DQNAgent | MountainCar-v0] Episode 60/100 avg_return=-123.80
[DQNAgent | MountainCar-v0] Episode 70/100 avg_return=-120.90
[DQNAgent | MountainCar-v0] Episode 80/100 avg_return=-140.50
[DQNAgent | MountainCar-v0] Episode 90/100 avg_return=-134.60
[DQNAgent | MountainCar-v0] Episode 100/100 avg_return=-137.70

[DQNAgent | MountainCar-v0] Test completed. Avg return: -135.51
Videos saved in: videos\DQNAgent_MountainCar-v0
