[DDQNAgent | MountainCar-v0] Episode 10/100 avg_return=-146.90
[DDQNAgent | MountainCar-v0] Episode 20/100 avg_return=-148.80
[DDQNAgent | MountainCar-v0] Episode 30/100 avg_return=-145.00
[DDQNAgent | MountainCar-v0] Episode 40/100 avg_return=-158.50
[DDQNAgent | MountainCar-v0] Episode 50/100 avg_return=-136.40
[DDQNAgent | MountainCar-v0] Episode 60/100 avg_return=-125.80
[DDQNAgent | MountainCar-v0] Episode 70/100 avg_return=-116.20
[DDQNAgent | MountainCar-v0] Episode 80/100 avg_return=-149.60
[DDQNAgent | MountainCar-v0] Episode 90/100 avg_return=-143.10
[DDQNAgent | MountainCar-v0] Episode 100/100 avg_return=-139.60

[DDQNAgent | MountainCar-v0] Test completed. Avg return: -140.99
Videos saved in: videos\DDQNAgent_MountainCar-v0
