[DDQNAgent | Pendulum-v1] Episode 10/100 avg_return=-166.66
[DDQNAgent | Pendulum-v1] Episode 20/100 avg_return=-152.18
[DDQNAgent | Pendulum-v1] Episode 30/100 avg_return=-134.43
[DDQNAgent | Pendulum-v1] Episode 40/100 avg_return=-142.85
[DDQNAgent | Pendulum-v1] Episode 50/100 avg_return=-167.86
[DDQNAgent | Pendulum-v1] Episode 60/100 avg_return=-169.31
[DDQNAgent | Pendulum-v1] Episode 70/100 avg_return=-166.40
[DDQNAgent | Pendulum-v1] Episode 80/100 avg_return=-155.36
[DDQNAgent | Pendulum-v1] Episode 90/100 avg_return=-189.33
[DDQNAgent | Pendulum-v1] Episode 100/100 avg_return=-154.16

[DDQNAgent | Pendulum-v1] Test completed. Avg return: -159.86
Videos saved in: videos\DDQNAgent_Pendulum-v1
