[DQNAgent | Acrobot-v1] Episode 10/100 avg_return=-91.40
[DQNAgent | Acrobot-v1] Episode 20/100 avg_return=-84.50
[DQNAgent | Acrobot-v1] Episode 30/100 avg_return=-102.10
[DQNAgent | Acrobot-v1] Episode 40/100 avg_return=-101.50
[DQNAgent | Acrobot-v1] Episode 50/100 avg_return=-95.60
[DQNAgent | Acrobot-v1] Episode 60/100 avg_return=-120.10
[DQNAgent | Acrobot-v1] Episode 70/100 avg_return=-102.80
[DQNAgent | Acrobot-v1] Episode 80/100 avg_return=-85.80
[DQNAgent | Acrobot-v1] Episode 90/100 avg_return=-82.90
[DQNAgent | Acrobot-v1] Episode 100/100 avg_return=-94.30

[DQNAgent | Acrobot-v1] Test completed. Avg return: -96.10
Videos saved in: videos\DQNAgent_Acrobot-v1
