[DQNAgent | Pendulum-v1] Episode 10/100 avg_return=-160.97
[DQNAgent | Pendulum-v1] Episode 20/100 avg_return=-130.23
[DQNAgent | Pendulum-v1] Episode 30/100 avg_return=-120.72
[DQNAgent | Pendulum-v1] Episode 40/100 avg_return=-162.91
[DQNAgent | Pendulum-v1] Episode 50/100 avg_return=-117.81
[DQNAgent | Pendulum-v1] Episode 60/100 avg_return=-108.13
[DQNAgent | Pendulum-v1] Episode 70/100 avg_return=-157.17
[DQNAgent | Pendulum-v1] Episode 80/100 avg_return=-145.12
[DQNAgent | Pendulum-v1] Episode 90/100 avg_return=-117.54
[DQNAgent | Pendulum-v1] Episode 100/100 avg_return=-163.99

[DQNAgent | Pendulum-v1] Test completed. Avg return: -138.46
Videos saved in: videos\DQNAgent_Pendulum-v1
