[DDQNAgent | MountainCar-v0] Episode 10/100 avg_return=-138.20
[DDQNAgent | MountainCar-v0] Episode 20/100 avg_return=-134.60
[DDQNAgent | MountainCar-v0] Episode 30/100 avg_return=-133.50
[DDQNAgent | MountainCar-v0] Episode 40/100 avg_return=-149.50
[DDQNAgent | MountainCar-v0] Episode 50/100 avg_return=-128.90
[DDQNAgent | MountainCar-v0] Episode 60/100 avg_return=-112.00
[DDQNAgent | MountainCar-v0] Episode 70/100 avg_return=-144.20
[DDQNAgent | MountainCar-v0] Episode 80/100 avg_return=-135.60
[DDQNAgent | MountainCar-v0] Episode 90/100 avg_return=-145.00
[DDQNAgent | MountainCar-v0] Episode 100/100 avg_return=-135.70

[DDQNAgent | MountainCar-v0] Test completed. Avg return: -135.72
Videos saved in: videos\DDQNAgent_MountainCar-v0
