[DDQNAgent | Pendulum-v1] Episode 10/100 avg_return=-186.23
[DDQNAgent | Pendulum-v1] Episode 20/100 avg_return=-109.38
[DDQNAgent | Pendulum-v1] Episode 30/100 avg_return=-140.05
[DDQNAgent | Pendulum-v1] Episode 40/100 avg_return=-188.93
[DDQNAgent | Pendulum-v1] Episode 50/100 avg_return=-166.61
[DDQNAgent | Pendulum-v1] Episode 60/100 avg_return=-153.18
[DDQNAgent | Pendulum-v1] Episode 70/100 avg_return=-151.98
[DDQNAgent | Pendulum-v1] Episode 80/100 avg_return=-155.59
[DDQNAgent | Pendulum-v1] Episode 90/100 avg_return=-156.55
[DDQNAgent | Pendulum-v1] Episode 100/100 avg_return=-119.76

[DDQNAgent | Pendulum-v1] Test completed. Avg return: -152.83
Videos saved in: videos\DDQNAgent_Pendulum-v1
