[DDQNAgent | Acrobot-v1] Episode 10/100 avg_return=-80.20
[DDQNAgent | Acrobot-v1] Episode 20/100 avg_return=-78.70
[DDQNAgent | Acrobot-v1] Episode 30/100 avg_return=-76.40
[DDQNAgent | Acrobot-v1] Episode 40/100 avg_return=-77.00
[DDQNAgent | Acrobot-v1] Episode 50/100 avg_return=-74.60
[DDQNAgent | Acrobot-v1] Episode 60/100 avg_return=-95.90
[DDQNAgent | Acrobot-v1] Episode 70/100 avg_return=-93.40
[DDQNAgent | Acrobot-v1] Episode 80/100 avg_return=-67.10
[DDQNAgent | Acrobot-v1] Episode 90/100 avg_return=-71.60
[DDQNAgent | Acrobot-v1] Episode 100/100 avg_return=-77.50

[DDQNAgent | Acrobot-v1] Test completed. Avg return: -79.24
Videos saved in: videos\DDQNAgent_Acrobot-v1
