[DQNAgent | Acrobot-v1] Episode 10/100 avg_return=-91.10
[DQNAgent | Acrobot-v1] Episode 20/100 avg_return=-83.00
[DQNAgent | Acrobot-v1] Episode 30/100 avg_return=-89.60
[DQNAgent | Acrobot-v1] Episode 40/100 avg_return=-83.00
[DQNAgent | Acrobot-v1] Episode 50/100 avg_return=-78.70
[DQNAgent | Acrobot-v1] Episode 60/100 avg_return=-78.50
[DQNAgent | Acrobot-v1] Episode 70/100 avg_return=-81.70
[DQNAgent | Acrobot-v1] Episode 80/100 avg_return=-96.30
[DQNAgent | Acrobot-v1] Episode 90/100 avg_return=-83.40
[DQNAgent | Acrobot-v1] Episode 100/100 avg_return=-94.90

[DQNAgent | Acrobot-v1] Test completed. Avg return: -86.02
Videos saved in: videos\DQNAgent_Acrobot-v1
