[DQNAgent | MountainCar-v0] Episode 10/100 avg_return=-142.30
[DQNAgent | MountainCar-v0] Episode 20/100 avg_return=-156.60
[DQNAgent | MountainCar-v0] Episode 30/100 avg_return=-124.80
[DQNAgent | MountainCar-v0] Episode 40/100 avg_return=-130.90
[DQNAgent | MountainCar-v0] Episode 50/100 avg_return=-123.90
[DQNAgent | MountainCar-v0] Episode 60/100 avg_return=-134.40
[DQNAgent | MountainCar-v0] Episode 70/100 avg_return=-126.60
[DQNAgent | MountainCar-v0] Episode 80/100 avg_return=-127.30
[DQNAgent | MountainCar-v0] Episode 90/100 avg_return=-116.20
[DQNAgent | MountainCar-v0] Episode 100/100 avg_return=-124.00

[DQNAgent | MountainCar-v0] Test completed. Avg return: -130.70
Videos saved in: videos\DQNAgent_MountainCar-v0
