[DQNAgent | Pendulum-v1] Episode 10/100 avg_return=-156.05
[DQNAgent | Pendulum-v1] Episode 20/100 avg_return=-160.71
[DQNAgent | Pendulum-v1] Episode 30/100 avg_return=-108.75
[DQNAgent | Pendulum-v1] Episode 40/100 avg_return=-133.75
[DQNAgent | Pendulum-v1] Episode 50/100 avg_return=-257.30
[DQNAgent | Pendulum-v1] Episode 60/100 avg_return=-159.57
[DQNAgent | Pendulum-v1] Episode 70/100 avg_return=-155.33
[DQNAgent | Pendulum-v1] Episode 80/100 avg_return=-166.22
[DQNAgent | Pendulum-v1] Episode 90/100 avg_return=-129.65
[DQNAgent | Pendulum-v1] Episode 100/100 avg_return=-174.29

[DQNAgent | Pendulum-v1] Test completed. Avg return: -160.16
Videos saved in: videos\DQNAgent_Pendulum-v1
