[DDQNAgent | CartPole-v1] Episode 10/100 avg_return=500.00
[DDQNAgent | CartPole-v1] Episode 20/100 avg_return=500.00
[DDQNAgent | CartPole-v1] Episode 30/100 avg_return=500.00
[DDQNAgent | CartPole-v1] Episode 40/100 avg_return=500.00
[DDQNAgent | CartPole-v1] Episode 50/100 avg_return=500.00
[DDQNAgent | CartPole-v1] Episode 60/100 avg_return=500.00
[DDQNAgent | CartPole-v1] Episode 70/100 avg_return=500.00
[DDQNAgent | CartPole-v1] Episode 80/100 avg_return=500.00
[DDQNAgent | CartPole-v1] Episode 90/100 avg_return=500.00
[DDQNAgent | CartPole-v1] Episode 100/100 avg_return=500.00

[DDQNAgent | CartPole-v1] Test completed. Avg return: 500.00
Videos saved in: videos\DDQNAgent_CartPole-v1
