[DDQNAgent | MountainCar-v0] Episode 10/100 avg_return=-140.40
[DDQNAgent | MountainCar-v0] Episode 20/100 avg_return=-155.20
[DDQNAgent | MountainCar-v0] Episode 30/100 avg_return=-150.60
[DDQNAgent | MountainCar-v0] Episode 40/100 avg_return=-135.10
[DDQNAgent | MountainCar-v0] Episode 50/100 avg_return=-145.40
[DDQNAgent | MountainCar-v0] Episode 60/100 avg_return=-128.90
[DDQNAgent | MountainCar-v0] Episode 70/100 avg_return=-138.60
[DDQNAgent | MountainCar-v0] Episode 80/100 avg_return=-142.00
[DDQNAgent | MountainCar-v0] Episode 90/100 avg_return=-146.00
[DDQNAgent | MountainCar-v0] Episode 100/100 avg_return=-144.30

[DDQNAgent | MountainCar-v0] Test completed. Avg return: -142.65
Videos saved in: videos\DDQNAgent_MountainCar-v0
