[DDQNAgent | Pendulum-v1] Episode 10/100 avg_return=-144.67
[DDQNAgent | Pendulum-v1] Episode 20/100 avg_return=-113.46
[DDQNAgent | Pendulum-v1] Episode 30/100 avg_return=-205.28
[DDQNAgent | Pendulum-v1] Episode 40/100 avg_return=-165.43
[DDQNAgent | Pendulum-v1] Episode 50/100 avg_return=-178.00
[DDQNAgent | Pendulum-v1] Episode 60/100 avg_return=-161.43
[DDQNAgent | Pendulum-v1] Episode 70/100 avg_return=-138.66
[DDQNAgent | Pendulum-v1] Episode 80/100 avg_return=-155.32
[DDQNAgent | Pendulum-v1] Episode 90/100 avg_return=-166.51
[DDQNAgent | Pendulum-v1] Episode 100/100 avg_return=-102.21

[DDQNAgent | Pendulum-v1] Test completed. Avg return: -153.10
Videos saved in: videos\DDQNAgent_Pendulum-v1
