[DQNAgent | Acrobot-v1] Episode 10/100 avg_return=-78.60
[DQNAgent | Acrobot-v1] Episode 20/100 avg_return=-82.30
[DQNAgent | Acrobot-v1] Episode 30/100 avg_return=-82.80
[DQNAgent | Acrobot-v1] Episode 40/100 avg_return=-95.40
[DQNAgent | Acrobot-v1] Episode 50/100 avg_return=-83.10
[DQNAgent | Acrobot-v1] Episode 60/100 avg_return=-74.00
[DQNAgent | Acrobot-v1] Episode 70/100 avg_return=-97.50
[DQNAgent | Acrobot-v1] Episode 80/100 avg_return=-79.30
[DQNAgent | Acrobot-v1] Episode 90/100 avg_return=-92.10
[DQNAgent | Acrobot-v1] Episode 100/100 avg_return=-99.50

[DQNAgent | Acrobot-v1] Test completed. Avg return: -86.46
Videos saved in: videos\DQNAgent_Acrobot-v1
