[DQNAgent | Pendulum-v1] Episode 10/100 avg_return=-170.80
[DQNAgent | Pendulum-v1] Episode 20/100 avg_return=-97.10
[DQNAgent | Pendulum-v1] Episode 30/100 avg_return=-120.00
[DQNAgent | Pendulum-v1] Episode 40/100 avg_return=-176.91
[DQNAgent | Pendulum-v1] Episode 50/100 avg_return=-99.45
[DQNAgent | Pendulum-v1] Episode 60/100 avg_return=-151.96
[DQNAgent | Pendulum-v1] Episode 70/100 avg_return=-155.30
[DQNAgent | Pendulum-v1] Episode 80/100 avg_return=-131.90
[DQNAgent | Pendulum-v1] Episode 90/100 avg_return=-134.41
[DQNAgent | Pendulum-v1] Episode 100/100 avg_return=-138.67

[DQNAgent | Pendulum-v1] Test completed. Avg return: -137.65
Videos saved in: videos\DQNAgent_Pendulum-v1
