[DDQNAgent | MountainCar-v0] Episode 10/100 avg_return=-138.30
[DDQNAgent | MountainCar-v0] Episode 20/100 avg_return=-134.60
[DDQNAgent | MountainCar-v0] Episode 30/100 avg_return=-126.70
[DDQNAgent | MountainCar-v0] Episode 40/100 avg_return=-141.30
[DDQNAgent | MountainCar-v0] Episode 50/100 avg_return=-118.30
[DDQNAgent | MountainCar-v0] Episode 60/100 avg_return=-135.90
[DDQNAgent | MountainCar-v0] Episode 70/100 avg_return=-133.70
[DDQNAgent | MountainCar-v0] Episode 80/100 avg_return=-139.10
[DDQNAgent | MountainCar-v0] Episode 90/100 avg_return=-129.10
[DDQNAgent | MountainCar-v0] Episode 100/100 avg_return=-139.60

[DDQNAgent | MountainCar-v0] Test completed. Avg return: -133.66
Videos saved in: videos\DDQNAgent_MountainCar-v0
