[DDQNAgent | Pendulum-v1] Episode 10/100 avg_return=-161.89
[DDQNAgent | Pendulum-v1] Episode 20/100 avg_return=-212.52
[DDQNAgent | Pendulum-v1] Episode 30/100 avg_return=-141.83
[DDQNAgent | Pendulum-v1] Episode 40/100 avg_return=-108.84
[DDQNAgent | Pendulum-v1] Episode 50/100 avg_return=-179.53
[DDQNAgent | Pendulum-v1] Episode 60/100 avg_return=-147.64
[DDQNAgent | Pendulum-v1] Episode 70/100 avg_return=-143.76
[DDQNAgent | Pendulum-v1] Episode 80/100 avg_return=-159.27
[DDQNAgent | Pendulum-v1] Episode 90/100 avg_return=-201.93
[DDQNAgent | Pendulum-v1] Episode 100/100 avg_return=-178.04

[DDQNAgent | Pendulum-v1] Test completed. Avg return: -163.53
Videos saved in: videos\DDQNAgent_Pendulum-v1
